created_at,consumer,influencer
2021-09-17,1,1
2021-09-18,2,0
2021-09-20,3,0
2021-09-22,1,0
2021-09-25,1,0
2021-09-26,0,1
2021-09-27,0,1
2021-09-29,1,0
2021-10-01,1,0
2021-10-04,0,3
2021-10-06,3,0
2021-10-10,0,1
2021-10-11,0,1
2021-10-13,0,1
2021-10-14,1,0
2021-10-15,1,0
2021-10-17,2,0
2021-10-18,1,2
2021-10-19,1,0
2021-10-21,2,0
2021-10-23,1,0
2021-10-26,1,0
2021-10-27,0,2
2021-10-28,1,0
2021-10-29,1,1
2021-10-30,1,1
2021-10-31,2,0
2021-11-05,0,1
2021-11-08,1,0
2021-11-10,1,0
2021-11-13,1,0
2021-11-16,1,0
2021-11-17,0,1
2021-11-18,2,0
2021-11-20,1,0
2021-11-22,2,0
2021-11-25,1,0
2021-11-26,2,1
2021-11-27,1,0
2021-11-29,1,0
2021-12-02,1,0
2021-12-03,1,1
2021-12-04,2,0
2021-12-05,3,0
2021-12-06,1,0
2021-12-07,1,0
2021-12-10,1,0
2021-12-15,1,0
2021-12-16,1,0
2021-12-18,2,0
2021-12-20,1,1
2021-12-21,2,0
2021-12-22,1,0
2021-12-23,1,0
2021-12-25,1,0
2021-12-29,1,0
2021-12-30,2,0
2021-12-31,0,1
2022-01-03,3,0
2022-01-05,1,0
2022-01-07,1,0
2022-01-08,1,0
2022-01-10,2,0
2022-01-11,1,0
2022-01-12,0,1
2022-01-13,2,1
2022-01-15,1,0
2022-01-17,2,0
2022-01-18,1,0
2022-01-19,1,0
2022-01-21,1,0
2022-01-25,1,0
2022-01-29,1,0
2022-02-01,2,1
2022-02-03,2,0
2022-02-04,3,0
2022-02-05,1,0
2022-02-06,1,0
2022-02-09,1,0
2022-02-10,3,0
2022-02-11,1,0
2022-02-12,1,1
2022-02-13,0,1
2022-02-17,1,1
2022-02-18,1,0
2022-02-20,0,1
2022-02-21,0,1
2022-02-24,0,1
2022-02-25,2,0
2022-02-26,1,1
2022-02-27,1,0
2022-03-01,1,2
2022-03-02,1,1
2022-03-03,1,0
2022-03-04,2,0
2022-03-08,1,0
2022-03-10,1,1
2022-03-11,0,1
2022-03-13,1,0
2022-03-15,2,0
2022-03-17,3,0
2022-03-18,2,0
2022-03-19,1,1
2022-03-20,1,0
2022-03-21,1,0
2022-03-22,0,1
2022-03-23,2,0
2022-03-24,0,1
2022-03-25,1,0
2022-03-30,1,0
2022-04-01,1,0
2022-04-02,1,0
2022-04-04,1,0
2022-04-07,2,0
2022-04-08,3,0
2022-04-09,2,1
2022-04-10,0,1
2022-04-11,1,1
2022-04-12,1,0
2022-04-14,1,0
2022-04-17,0,1
2022-04-18,1,0
2022-04-19,2,0
2022-04-21,1,0
2022-04-22,3,1
2022-04-23,1,0
2022-04-24,1,0
2022-04-26,2,1
2022-04-27,3,0
2022-04-28,1,0
2022-04-29,1,0
2022-04-30,1,0
2022-05-01,3,1
2022-05-03,0,3
2022-05-04,4,0
2022-05-06,1,0
2022-05-09,0,1
2022-05-10,2,0
2022-05-11,1,0
2022-05-12,1,0
2022-05-13,0,1
2022-05-14,0,3
2022-05-16,1,0
2022-05-17,2,0
2022-05-18,2,0
2022-05-19,1,0
2022-05-20,1,0
2022-05-21,1,0
2022-05-23,1,1
2022-05-24,2,0
2022-05-26,0,1
2022-05-28,1,0
2022-05-30,1,0
2022-05-31,1,1
2022-06-01,1,0
2022-06-03,0,2
2022-06-04,3,0
2022-06-05,1,0
2022-06-06,1,0
2022-06-07,1,0
2022-06-08,2,0
2022-06-10,1,0
2022-06-11,1,0
2022-06-12,1,0
2022-06-13,1,0
2022-06-14,5,0
2022-06-15,1,0
2022-06-16,1,0
2022-06-17,1,0
2022-06-18,3,0
2022-06-20,1,0
2022-06-21,1,1
2022-06-25,1,0
2022-06-27,1,0
2022-06-29,1,0
2022-06-30,2,0
2022-07-01,2,0
2022-07-02,2,0
2022-07-03,1,0
2022-07-05,1,1
2022-07-06,1,1
2022-07-08,1,0
2022-07-09,1,0
2022-07-10,1,1
2022-07-11,3,0
2022-07-12,1,0
2022-07-13,3,2
2022-07-14,1,2
2022-07-15,1,0
2022-07-16,2,0
2022-07-17,1,0
2022-07-19,1,0
2022-07-20,1,2
2022-07-21,1,0
2022-07-22,1,2
2022-07-24,0,1
2022-07-25,1,1
2022-07-26,1,0
2022-07-27,4,0
2022-07-28,4,2
2022-07-29,2,0
2022-07-30,1,0
2022-07-31,5,0
2022-08-01,1,0
2022-08-03,1,1
2022-08-04,1,0
2022-08-05,2,0
2022-08-06,1,0
2022-08-07,0,1
2022-08-08,3,0
2022-08-10,1,0
2022-08-11,2,1
2022-08-12,1,0
2022-08-15,1,0
2022-08-17,2,1
2022-08-18,0,1
2022-08-19,2,0
2022-08-20,1,0
2022-08-22,1,0
2022-08-25,2,0
2022-08-26,1,1
2022-08-28,0,1
2022-08-29,1,0
2022-08-30,1,0
2022-08-31,1,0
2022-09-01,0,1
2022-09-03,0,1
2022-09-06,1,0
2022-09-07,0,1
2022-09-09,1,1
2022-09-12,1,2
2022-09-13,1,2
2022-09-14,1,3
2022-09-15,1,0
2022-09-16,2,0
2022-09-17,3,0
2022-09-18,2,0
2022-09-20,2,0
2022-09-22,1,0
2022-09-24,3,0
2022-09-26,0,1
2022-09-27,2,1
2022-09-30,1,0
2022-10-02,3,1
2022-10-05,1,2
2022-10-06,2,0
2022-10-07,1,0
2022-10-08,2,0
2022-10-09,0,2
2022-10-10,1,0
2022-10-11,1,0
2022-10-13,1,0
2022-10-14,0,1
2022-10-15,1,0
2022-10-16,2,0
2022-10-18,2,0
2022-10-19,1,0
2022-10-20,1,0
2022-10-21,2,1
2022-10-22,0,1
2022-10-24,1,0
2022-10-26,0,1
2022-10-27,1,0
2022-10-28,1,0
2022-10-29,1,0
2022-10-30,0,1
2022-11-01,3,0
2022-11-02,0,1
2022-11-05,1,0
2022-11-06,1,1
2022-11-10,1,0
2022-11-11,2,0
2022-11-13,1,0
2022-11-15,3,0
2022-11-16,0,1
2022-11-17,1,0
2022-11-18,1,0
2022-11-19,1,0
2022-11-20,1,0
2022-11-21,3,0
2022-11-22,1,0
2022-11-23,2,0
2022-11-24,1,0
2022-11-25,2,1
2022-11-26,2,0
2022-11-28,1,0
2022-11-29,3,0
2022-11-30,1,0
2022-12-03,2,0
2022-12-05,1,0
2022-12-07,1,0
2022-12-08,1,0
2022-12-09,1,0
2022-12-11,1,0
2022-12-12,2,0
2022-12-15,2,0
2022-12-16,1,0
2022-12-17,1,0
2022-12-18,1,0
2022-12-20,1,0
2022-12-21,2,0
2022-12-27,2,0
2022-12-31,1,0
2023-01-02,2,0
2023-01-03,1,0
2023-01-06,0,2
2023-01-09,1,0
2023-01-10,2,0
2023-01-12,1,0
2023-01-13,1,1
2023-01-14,1,0
2023-01-20,1,0
2023-01-21,1,0
2023-01-23,4,0
2023-01-24,2,1
2023-01-25,2,0
2023-01-26,0,1
2023-01-30,1,0
2023-01-31,1,0
2023-02-01,2,1
2023-02-03,2,0
2023-02-06,1,0
2023-02-08,1,0
2023-02-09,1,0
2023-02-11,1,0
2023-02-12,1,1
2023-02-13,2,0
2023-02-14,1,0
2023-02-16,1,0
2023-02-19,2,1
2023-02-21,1,0
2023-02-23,1,1
2023-02-24,1,0
2023-02-25,0,1
2023-03-02,3,0
2023-03-03,1,1
2023-03-07,1,0
2023-03-08,4,0
2023-03-12,1,0
2023-03-14,2,0
2023-03-16,0,1
2023-03-17,1,0
2023-03-18,1,1
2023-03-19,1,0
2023-03-20,1,0
2023-03-21,2,1
2023-03-22,1,0
2023-03-23,0,1
2023-03-30,1,0
