"created_at","content","user_type","count"
2020-08-16,"Chess Training and Improvement","consumer",1
2020-08-16,"Tournament Results and Standings","consumer",1
2020-08-17,"Social Media Impact on Chess","consumer",1
2020-08-19,"Chess Literature and Media","consumer",1
2020-08-19,"Tournament Results and Standings","influencer",1
2020-08-20,"Online Chess Competitions","consumer",2
2020-08-21,"Chess Events and Tournaments","consumer",1
2020-08-21,"Chess Legends and Personalities","consumer",1
2020-08-21,"Social Media Impact on Chess","consumer",2
2020-08-22,"Chess Events and Tournaments","consumer",1
2020-08-22,"Chess Events and Tournaments","influencer",1
2020-08-22,"Political and Social Issues in Chess","consumer",1
2020-08-22,"Tournament Results and Standings","consumer",1
2020-08-23,"Chess Literature and Media","consumer",1
2020-08-23,"Tournament Results and Standings","consumer",2
2020-08-24,"Political and Social Issues in Chess","consumer",1
2020-08-25,"Chess Events and Tournaments","consumer",2
2020-08-25,"Chess Training and Improvement","influencer",1
2020-08-25,"Online Chess Competitions","consumer",1
2020-08-26,"Chess Events and Tournaments","consumer",2
2020-08-26,"Chess Legends and Personalities","consumer",1
2020-08-26,"Chess Literature and Media","consumer",1
2020-08-26,"Tournament Results and Standings","consumer",1
2020-08-27,"Social Media Impact on Chess","consumer",1
2020-08-28,"Chess Strategies and Tactics","influencer",1
2020-08-28,"Social Media Impact on Chess","consumer",1
2020-08-29,"Chess Events and Tournaments","consumer",1
2020-08-29,"Online Chess Competitions","consumer",1
2020-08-29,"Political and Social Issues in Chess","consumer",1
2020-08-29,"Tournament Results and Standings","consumer",2
2020-08-30,"Online Chess Competitions","consumer",2
2020-08-30,"Player Performances and Strategies","consumer",1
2020-08-30,"Social Media Impact on Chess","consumer",3
2020-08-31,"Chess Events and Tournaments","consumer",1
2020-08-31,"Online Chess Competitions","consumer",1
2020-08-31,"Social Media Impact on Chess","consumer",2
2020-09-01,"Chess Legends and Personalities","consumer",1
2020-09-01,"Social Media Impact on Chess","consumer",3
2020-09-02,"Online Chess Competitions","consumer",1
2020-09-02,"Social Media Impact on Chess","consumer",2
2020-09-03,"Online Chess Competitions","consumer",1
2020-09-03,"Social Media Impact on Chess","consumer",1
2020-09-05,"Social Media Impact on Chess","consumer",2
2020-09-06,"Chess Literature and Media","consumer",1
2020-09-07,"Chess Events and Tournaments","consumer",1
2020-09-07,"Player Performances and Strategies","influencer",1
2020-09-07,"Social Media Impact on Chess","consumer",1
2020-09-08,"Social Media Impact on Chess","consumer",1
2020-09-08,"Tournament Results and Standings","consumer",1
2020-09-09,"Social Media Impact on Chess","consumer",1
2020-09-10,"Chess Literature and Media","consumer",1
2020-09-10,"Political and Social Issues in Chess","consumer",1
2020-09-10,"Social Media Impact on Chess","consumer",1
2020-09-10,"Tournament Results and Standings","influencer",1
2020-09-11,"Chess Events and Tournaments","consumer",1
2020-09-11,"Chess Legends and Personalities","influencer",1
2020-09-11,"Player Performances and Strategies","influencer",1
2020-09-11,"Social Media Impact on Chess","consumer",1
2020-09-12,"Chess Events and Tournaments","consumer",1
2020-09-12,"Social Media Impact on Chess","consumer",1
2020-09-13,"Chess Events and Tournaments","consumer",1
2020-09-13,"Chess Events and Tournaments","influencer",1
2020-09-13,"Social Media Impact on Chess","influencer",1
2020-09-13,"Tournament Results and Standings","influencer",1
2020-09-14,"Chess Events and Tournaments","influencer",1
2020-09-14,"Player Performances and Strategies","consumer",1
2020-09-14,"Political and Social Issues in Chess","consumer",1
2020-09-15,"Chess Legends and Personalities","consumer",1
2020-09-15,"Chess Literature and Media","consumer",1
2020-09-15,"Chess Openings","influencer",1
2020-09-16,"Chess Events and Tournaments","consumer",1
2020-09-16,"Chess Training and Improvement","consumer",1
2020-09-16,"Player Performances and Strategies","influencer",1
2020-09-16,"Social Media Impact on Chess","influencer",1
2020-09-18,"Chess Events and Tournaments","consumer",1
2020-09-18,"Chess Legends and Personalities","consumer",1
2020-09-18,"Chess Literature and Media","influencer",1
2020-09-18,"Online Chess Competitions","consumer",1
2020-09-18,"Player Performances and Strategies","influencer",1
2020-09-19,"Social Media Impact on Chess","consumer",1
2020-09-19,"Tournament Results and Standings","influencer",1
2020-09-20,"Chess Events and Tournaments","consumer",1
2020-09-20,"Online Chess Competitions","consumer",1
2020-09-21,"Chess Events and Tournaments","consumer",1
2020-09-21,"Chess Literature and Media","consumer",1
2020-09-21,"Chess Training and Improvement","influencer",1
2020-09-22,"Chess Events and Tournaments","consumer",1
2020-09-22,"Social Media Impact on Chess","consumer",1
2020-09-23,"Social Media Impact on Chess","consumer",2
2020-09-24,"Social Media Impact on Chess","consumer",1
2020-09-25,"Chess Literature and Media","consumer",1
2020-09-26,"Chess Events and Tournaments","influencer",1
2020-09-26,"Chess Literature and Media","consumer",1
2020-09-26,"Social Media Impact on Chess","consumer",1
2020-09-27,"Chess Training and Improvement","consumer",1
2020-09-28,"Chess Literature and Media","consumer",1
2020-09-28,"Chess Training and Improvement","consumer",1
2020-09-28,"Health and Wellness in Chess","consumer",1
2020-09-29,"Chess Training and Improvement","consumer",1
2020-09-30,"Chess Literature and Media","consumer",1
2020-10-01,"Chess Events and Tournaments","consumer",1
2020-10-01,"Political and Social Issues in Chess","consumer",1
2020-10-02,"Player Performances and Strategies","consumer",1
2020-10-02,"Political and Social Issues in Chess","consumer",1
2020-10-02,"Tournament Results and Standings","consumer",1
2020-10-03,"Chess Events and Tournaments","consumer",1
2020-10-03,"Chess Legends and Personalities","consumer",1
2020-10-03,"Online Chess Competitions","consumer",1
2020-10-03,"Tournament Results and Standings","consumer",1
2020-10-04,"Chess Literature and Media","consumer",1
2020-10-04,"Online Chess Competitions","consumer",1
2020-10-04,"Social Media Impact on Chess","consumer",1
2020-10-05,"Online Chess Competitions","consumer",1
2020-10-05,"Player Performances and Strategies","influencer",1
2020-10-05,"Social Media Impact on Chess","consumer",1
2020-10-05,"Tournament Results and Standings","consumer",2
2020-10-06,"Chess Legends and Personalities","consumer",3
2020-10-06,"Online Chess Competitions","consumer",1
2020-10-06,"Social Media Impact on Chess","consumer",2
2020-10-07,"Chess Strategies and Player Performances","consumer",1
2020-10-07,"Chess Training and Improvement","consumer",1
2020-10-07,"Online Chess Competitions","consumer",1
2020-10-07,"Player Performances and Strategies","consumer",2
2020-10-07,"Social Media Impact on Chess","consumer",1
2020-10-08,"Player Performances and Strategies","consumer",1
2020-10-08,"Player Performances and Strategies","influencer",1
2020-10-08,"Social Media Impact on Chess","consumer",2
2020-10-08,"Tournament Results and Standings","consumer",1
2020-10-09,"Chess Events and Tournaments","consumer",1
2020-10-09,"Chess Legends and Personalities","influencer",1
2020-10-09,"Chess Personalities","consumer",1
2020-10-09,"Social Media Impact on Chess","influencer",1
2020-10-09,"Tournament Results and Standings","influencer",1
2020-10-10,"Online Chess Competitions","consumer",1
2020-10-10,"Player Performances and Strategies","consumer",2
2020-10-10,"Player Performances and Strategies","influencer",1
2020-10-10,"Social Media Impact on Chess","consumer",2
2020-10-11,"Chess Legends and Personalities","influencer",1
2020-10-11,"Social Media Impact on Chess","consumer",3
2020-10-11,"Tournament Results and Standings","consumer",1
2020-10-11,"Tournament Results and Standings","influencer",1
2020-10-12,"Chess Events and Tournaments","consumer",1
2020-10-12,"Chess Legends and Personalities","consumer",2
2020-10-12,"Chess Literature and Media","consumer",1
2020-10-12,"Health and Wellness in Chess","consumer",1
2020-10-12,"Player Performances and Strategies","consumer",2
2020-10-12,"Tournament Results and Standings","consumer",2
2020-10-13,"Chess Training and Improvement","consumer",1
2020-10-13,"Social Media Impact on Chess","consumer",1
2020-10-13,"Tournament Results and Standings","consumer",1
2020-10-14,"Chess Events and Tournaments","consumer",1
2020-10-14,"Chess Literature and Media","influencer",1
2020-10-15,"Chess Events and Tournaments","consumer",1
2020-10-15,"Player Performances and Strategies","consumer",1
2020-10-15,"Player Performances and Strategies","influencer",1
2020-10-15,"Social Media Impact on Chess","consumer",1
2020-10-15,"Tournament Results and Standings","consumer",1
2020-10-16,"Online Chess Competitions","consumer",1
2020-10-16,"Social Media Impact on Chess","consumer",2
2020-10-16,"Tournament Results and Standings","consumer",1
2020-10-16,"Tournament Results and Standings","influencer",1
2020-10-17,"Chess Events and Tournaments","influencer",1
2020-10-17,"Chess Training and Improvement","consumer",1
2020-10-17,"Chess Training and Improvement","influencer",1
2020-10-18,"Tournament Results and Standings","consumer",1
2020-10-19,"Player Performances and Strategies","consumer",1
2020-10-19,"Social Media Impact on Chess","consumer",1
2020-10-20,"Chess Events and Tournaments","consumer",1
2020-10-21,"Chess Events and Tournaments","consumer",1
2020-10-21,"Chess Literature and Media","consumer",1
2020-10-21,"Player Performances and Strategies","influencer",1
2020-10-21,"Social Media Impact on Chess","consumer",1
2020-10-21,"Social Media Impact on Chess","influencer",1
2020-10-22,"Tournament Results and Standings","influencer",1
2020-10-23,"Player Performances and Strategies","consumer",1
2020-10-24,"Tournament Results and Standings","influencer",1
2020-10-25,"Online Chess Competitions","consumer",1
2020-10-26,"Chess Legends and Personalities","influencer",1
2020-10-26,"Chess Literature and Media","consumer",1
2020-10-28,"Chess Events and Tournaments","consumer",1
2020-10-29,"Chess Legends and Personalities","influencer",1
2020-10-29,"Chess Literature and Media","consumer",1
2020-10-30,"Chess Literature and Media","influencer",1
2020-10-30,"Online Chess Competitions","consumer",1
2020-10-30,"Social Media Impact on Chess","consumer",1
2020-10-30,"Tournament Results and Standings","consumer",1
2020-10-30,"Tournament Results and Standings","influencer",1
2020-10-31,"Chess Events and Tournaments","consumer",1
2020-10-31,"Chess Strategies and Openings","consumer",1
2020-10-31,"Social Media Impact on Chess","consumer",1
2020-11-01,"Social Media Impact on Chess","consumer",1
2020-11-02,"Chess Literature and Media","consumer",1
2020-11-02,"Player Performances and Strategies","influencer",1
2020-11-03,"Chess Literature and Media","consumer",1
2020-11-03,"Social Media Impact on Chess","consumer",3
2020-11-04,"Social Media Impact on Chess","consumer",2
2020-11-05,"Chess Literature and Media","consumer",1
2020-11-05,"Chess Training and Improvement","consumer",2
2020-11-06,"Social Media Impact on Chess","consumer",2
2020-11-07,"Chess Literature and Media","consumer",1
2020-11-07,"Chess Literature and Media","influencer",1
2020-11-08,"Chess Personalities","consumer",1
2020-11-09,"Social Media Impact on Chess","consumer",2
2020-11-10,"Chess Legends and Personalities","consumer",1
2020-11-10,"Online Chess Competitions","consumer",1
2020-11-11,"Player Performances and Strategies","consumer",1
2020-11-11,"Political and Social Issues in Chess","consumer",2
2020-11-13,"Chess Legends and Personalities","consumer",1
2020-11-13,"Social Media Impact on Chess","consumer",2
2020-11-13,"Social Media Impact on Chess","influencer",1
2020-11-14,"Chess Legends and Personalities","consumer",1
2020-11-14,"Chess Literature and Media","consumer",1
2020-11-14,"Social Media Impact on Chess","consumer",1
2020-11-14,"Social Media Impact on Chess","influencer",1
2020-11-15,"Chess Literature and Media","consumer",2
2020-11-15,"Chess Training and Improvement","consumer",1
2020-11-16,"Chess Legends and Personalities","consumer",1
2020-11-16,"Chess Training and Improvement","consumer",1
2020-11-16,"Social Media Impact on Chess","consumer",1
2020-11-17,"Social Media Impact on Chess","consumer",1
2020-11-18,"Online Chess Competitions","consumer",1
2020-11-19,"Chess Training and Improvement","consumer",1
2020-11-19,"Political and Social Issues in Chess","consumer",1
2020-11-19,"Social Media Impact on Chess","consumer",2
2020-11-19,"Tournament Results and Standings","consumer",1
2020-11-20,"Chess Events and Tournaments","consumer",1
2020-11-20,"Chess Training and Improvement","consumer",3
2020-11-20,"Social Media Impact on Chess","consumer",1
2020-11-21,"Online Chess Competitions","consumer",1
2020-11-21,"Social Media Impact on Chess","consumer",2
2020-11-22,"Social Media Impact on Chess","consumer",1
2020-11-23,"Social Media Impact on Chess","consumer",1
2020-11-24,"Social Media Impact on Chess","consumer",1
2020-11-25,"Chess Events and Tournaments","consumer",2
2020-11-25,"Chess Events and Tournaments","influencer",1
2020-11-25,"Chess Legends and Personalities","influencer",2
2020-11-25,"Chess Literature and Media","consumer",1
2020-11-25,"Chess Training and Improvement","consumer",1
2020-11-25,"Tournament Results and Standings","influencer",1
2020-11-26,"Social Media Impact on Chess","consumer",1
2020-11-28,"Social Media Impact on Chess","consumer",2
2020-11-29,"Chess Legends and Personalities","consumer",1
2020-11-29,"Social Media Impact on Chess","consumer",1
2020-11-30,"Chess Events and Tournaments","consumer",1
2020-11-30,"Social Media Impact on Chess","consumer",2
2020-12-01,"Chess Events and Tournaments","consumer",1
2020-12-01,"Chess Literature and Media","consumer",2
2020-12-01,"Social Media Impact on Chess","consumer",2
2020-12-01,"Social Media Impact on Chess","influencer",1
2020-12-01,"Tournament Results and Standings","consumer",1
2020-12-03,"Chess Events and Tournaments","consumer",1
2020-12-03,"Social Media Impact on Chess","consumer",2
2020-12-04,"Online Chess Competitions","consumer",1
2020-12-04,"Social Media Impact on Chess","consumer",1
2020-12-04,"Tournament Results and Standings","consumer",1
2020-12-05,"Chess Events and Tournaments","consumer",1
2020-12-05,"Chess Legends and Personalities","influencer",1
2020-12-05,"Political and Social Issues in Chess","consumer",2
2020-12-05,"Tournament Results and Standings","consumer",2
2020-12-06,"Chess Events and Tournaments","consumer",1
2020-12-07,"Chess Events and Tournaments","consumer",1
2020-12-07,"Online Chess Competitions","consumer",1
2020-12-08,"Chess Events and Tournaments","consumer",1
2020-12-08,"Chess Legends and Personalities","consumer",1
2020-12-08,"Chess Training and Improvement","consumer",2
2020-12-09,"Chess Events and Tournaments","consumer",1
2020-12-10,"Chess Events and Tournaments","consumer",2
2020-12-10,"Social Media Impact on Chess","consumer",1
2020-12-11,"Chess Literature and Media","consumer",1
2020-12-11,"Social Media Impact on Chess","consumer",1
2020-12-12,"Chess Events and Tournaments","consumer",2
2020-12-12,"Chess Legends and Personalities","consumer",1
2020-12-13,"Chess Literature and Media","consumer",1
2020-12-15,"Chess Literature and Media","consumer",1
2020-12-17,"Chess Literature and Media","consumer",1
2020-12-17,"Chess Literature and Media","influencer",1
2020-12-18,"Chess Literature and Media","consumer",1
2020-12-18,"Player Performances and Strategies","influencer",1
2020-12-19,"Player Performances and Strategies","consumer",1
2020-12-20,"Chess Literature and Media","consumer",1
2020-12-20,"Health and Wellness in Chess","consumer",1
2020-12-20,"Online Chess Competitions","consumer",1
2020-12-20,"Social Media Impact on Chess","consumer",1
2020-12-20,"Tournament Results and Standings","consumer",1
2020-12-21,"Social Media Impact on Chess","consumer",1
2020-12-22,"Chess Literature and Media","consumer",1
2020-12-22,"Player Performances and Strategies","consumer",1
2020-12-22,"Tournament Results and Standings","consumer",2
2020-12-23,"Chess Literature and Media","consumer",1
2020-12-23,"Online Chess Competitions","consumer",1
2020-12-23,"Social Media Impact on Chess","consumer",2
2020-12-24,"Social Media Impact on Chess","consumer",1
2020-12-25,"Chess Events and Tournaments","influencer",1
2020-12-25,"Social Media Impact on Chess","consumer",1
2020-12-26,"Chess Events and Tournaments","consumer",1
2020-12-26,"Social Media Impact on Chess","consumer",1
2020-12-27,"Chess Literature and Media","consumer",1
2020-12-27,"Social Media Impact on Chess","consumer",1
2020-12-27,"Tournament Results and Standings","influencer",1
2020-12-28,"Chess Events and Tournaments","consumer",1
2020-12-28,"Chess Legends and Personalities","consumer",1
2020-12-28,"Social Media Impact on Chess","consumer",2
2020-12-28,"Tournament Results and Standings","consumer",1
2020-12-29,"Player Performances and Strategies","influencer",1
2020-12-30,"Chess Events and Tournaments","consumer",1
2020-12-30,"Chess Training and Improvement","consumer",2
2020-12-30,"Player Performances and Strategies","consumer",1
2020-12-30,"Tournament Results and Standings","influencer",1
2020-12-31,"Chess Personalities","consumer",1
2020-12-31,"Social Media Impact on Chess","consumer",5
2020-12-31,"Social Media Impact on Chess","influencer",1
2021-01-01,"Social Media Impact on Chess","consumer",3
2021-01-02,"Chess Training and Improvement","consumer",1
2021-01-03,"Chess Training and Improvement","consumer",1
2021-01-03,"Social Media Impact on Chess","consumer",2
2021-01-07,"Chess Training and Improvement","consumer",1
2021-01-08,"Online Chess Competitions","consumer",1
2021-01-10,"Social Media Impact on Chess","consumer",1
2021-01-11,"Chess Training and Improvement","consumer",1
2021-01-11,"Player Performances and Strategies","consumer",1
2021-01-11,"Social Media Impact on Chess","influencer",1
2021-01-11,"Tournament Results and Standings","consumer",1
2021-01-12,"Chess Events and Tournaments","consumer",1
2021-01-13,"Political and Social Issues in Chess","consumer",1
2021-01-14,"Social Media Impact on Chess","consumer",1
2021-01-14,"Tournament Results and Standings","consumer",1
2021-01-15,"Chess Events and Tournaments","consumer",2
2021-01-16,"Chess Training and Improvement","consumer",1
2021-01-16,"Social Media Impact on Chess","consumer",1
2021-01-16,"Tournament Results and Standings","consumer",1
2021-01-17,"Chess Legends and Personalities","consumer",1
2021-01-17,"Social Media Impact on Chess","consumer",1
2021-01-18,"Social Media Impact on Chess","consumer",3
2021-01-19,"Chess Events and Tournaments","consumer",1
2021-01-19,"Chess Legends and Personalities","consumer",1
2021-01-19,"Chess Literature and Media","consumer",1
2021-01-19,"Chess Literature and Media","influencer",1
2021-01-19,"Chess Training and Improvement","consumer",1
2021-01-19,"Social Media Impact on Chess","consumer",1
2021-01-20,"Chess Literature and Media","consumer",1
2021-01-20,"Social Media Impact on Chess","consumer",1
2021-01-21,"Social Media Impact on Chess","consumer",2
2021-01-22,"Player Performances and Strategies","consumer",1
2021-01-22,"Social Media Impact on Chess","consumer",1
2021-01-22,"Tournament Results and Standings","consumer",1
2021-01-23,"Chess Events and Tournaments","consumer",1
2021-01-23,"Social Media Impact on Chess","influencer",1
2021-01-23,"Tournament Results and Standings","consumer",1
2021-01-24,"Online Chess Competitions","consumer",1
2021-01-25,"Chess Training and Improvement","consumer",1
2021-01-25,"Chess Training and Improvement","influencer",1
2021-01-25,"Online Chess Competitions","consumer",1
2021-01-25,"Player Performances and Strategies","consumer",1
2021-01-25,"Social Media Impact on Chess","consumer",3
2021-01-26,"Chess Events and Tournaments","consumer",2
2021-01-26,"Social Media Impact on Chess","consumer",1
2021-01-27,"Chess Events and Tournaments","consumer",1
2021-01-27,"Social Media Impact on Chess","consumer",2
2021-01-27,"Tournament Results and Standings","consumer",1
2021-01-28,"Chess Events and Tournaments","consumer",2
2021-01-28,"Chess Training and Improvement","consumer",1
2021-01-29,"Health and Wellness in Chess","consumer",1
2021-01-29,"Social Media Impact on Chess","consumer",1
2021-01-30,"Chess Events and Tournaments","consumer",1
2021-01-30,"Chess Legends and Personalities","consumer",1
2021-01-30,"Social Media Impact on Chess","consumer",2
2021-01-31,"Chess Literature and Media","consumer",1
2021-01-31,"Player Performances and Strategies","consumer",1
2021-01-31,"Tournament Results and Standings","consumer",3
2021-01-31,"Tournament Results and Standings","influencer",1
2021-02-01,"Chess Legends and Personalities","consumer",1
2021-02-01,"Chess Literature and Media","consumer",2
2021-02-01,"Social Media Impact on Chess","consumer",1
2021-02-01,"Tournament Results and Standings","consumer",2
2021-02-02,"Chess Literature and Media","consumer",2
2021-02-02,"Social Media Impact on Chess","consumer",1
2021-02-03,"Health and Wellness in Chess","consumer",1
2021-02-04,"Chess Events and Tournaments","consumer",1
2021-02-04,"Online Chess Competitions","consumer",1
2021-02-04,"Tournament Results and Standings","consumer",1
2021-02-05,"Chess Events and Tournaments","consumer",1
2021-02-05,"Player Performances and Strategies","consumer",1
2021-02-05,"Social Media Impact on Chess","consumer",1
2021-02-06,"Chess Events and Tournaments","consumer",1
2021-02-06,"Chess Legends and Personalities","consumer",1
2021-02-06,"Chess Literature and Media","consumer",1
2021-02-06,"Online Chess Competitions","consumer",1
2021-02-06,"Social Media Impact on Chess","consumer",1
2021-02-06,"Tournament Results and Standings","influencer",1
2021-02-07,"Chess Legends and Personalities","influencer",1
2021-02-07,"Chess Training and Improvement","consumer",1
2021-02-07,"Political and Social Issues in Chess","consumer",1
2021-02-08,"Chess Legends and Personalities","consumer",1
2021-02-08,"Social Media Impact on Chess","consumer",2
2021-02-09,"Chess Literature and Media","consumer",1
2021-02-09,"Chess Training and Improvement","consumer",1
2021-02-09,"Online Chess Competitions","consumer",1
2021-02-10,"Chess Training and Improvement","consumer",1
2021-02-10,"Player Performances and Strategies","influencer",1
2021-02-10,"Social Media Impact on Chess","consumer",2
2021-02-10,"Tournament Results and Standings","consumer",1
2021-02-11,"Social Media Impact on Chess","consumer",1
2021-02-13,"Chess Events and Tournaments","consumer",1
2021-02-13,"Social Media Impact on Chess","influencer",1
2021-02-13,"Tournament Results and Standings","consumer",1
2021-02-14,"Chess Legends and Personalities","influencer",1
2021-02-14,"Social Media Impact on Chess","consumer",1
2021-02-15,"Chess Literature and Media","consumer",1
2021-02-15,"Online Chess Competitions","consumer",1
2021-02-15,"Social Media Impact on Chess","consumer",3
2021-02-16,"Chess Legends and Personalities","consumer",2
2021-02-16,"Chess Training and Improvement","consumer",1
2021-02-16,"Social Media Impact on Chess","consumer",1
2021-02-16,"Tournament Results and Standings","consumer",1
2021-02-17,"Chess Events and Tournaments","consumer",2
2021-02-17,"Chess Literature and Media","consumer",1
2021-02-17,"Chess Organizations and Opportunities","consumer",1
2021-02-17,"Chess Training and Improvement","consumer",2
2021-02-17,"Online Chess Competitions","consumer",1
2021-02-17,"Social Media Impact on Chess","consumer",1
2021-02-19,"Chess Literature and Media","consumer",1
2021-02-19,"Tournament Results and Standings","consumer",1
2021-02-20,"Chess Personalities","consumer",1
2021-02-20,"Player Performances and Strategies","consumer",1
2021-02-21,"Chess Events and Tournaments","consumer",1
2021-02-21,"Chess Legends and Personalities","consumer",1
2021-02-21,"Tournament Results and Standings","consumer",1
2021-02-22,"Chess Literature and Media","consumer",1
2021-02-22,"Social Media Impact on Chess","consumer",1
2021-02-23,"Chess Legends and Personalities","consumer",1
2021-02-23,"Chess Training and Improvement","influencer",1
2021-02-23,"Player Performances and Strategies","consumer",1
2021-02-23,"Political and Social Issues in Chess","consumer",1
2021-02-23,"Social Media Impact on Chess","consumer",1
2021-02-24,"Chess Legends and Personalities","consumer",1
2021-02-25,"Chess Events and Tournaments","influencer",1
2021-02-26,"Chess Literature and Media","influencer",1
2021-02-28,"Chess Organizations and Policies","consumer",1
2021-02-28,"Chess Training and Improvement","consumer",1
2021-03-01,"Chess Events and Tournaments","consumer",1
2021-03-01,"Chess Legends and Personalities","influencer",1
2021-03-01,"Chess Literature and Media","consumer",2
2021-03-01,"Online Chess Competitions","consumer",1
2021-03-01,"Social Media Impact on Chess","consumer",2
2021-03-02,"Social Media Impact on Chess","consumer",3
2021-03-04,"Chess Literature and Media","consumer",1
2021-03-04,"Chess Training and Improvement","consumer",1
2021-03-04,"Online Chess Competitions","consumer",1
2021-03-05,"Chess Literature and Media","consumer",2
2021-03-05,"Political and Social Issues in Chess","consumer",1
2021-03-06,"Chess Training and Improvement","consumer",1
2021-03-08,"Chess Events and Tournaments","consumer",1
